"","date","Price","meanf","naive","snaive","rwf","ses","holt","splinef","thetaf","ets","tbats","arima","nnetar"
"62",2018-03-04,51.932419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2018-03-05,51.942188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2018-03-06,52.313274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2018-03-07,52.840611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2018-03-08,53.504654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2018-03-09,54.754623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2018-03-10,54.754623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2018-03-11,54.754623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2018-03-12,55.174538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2018-03-13,54.91087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2018-03-14,53.983154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2018-03-15,53.875736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2018-03-16,54.100346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2018-03-17,54.100346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2018-03-18,54.100346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2018-03-19,53.338638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2018-03-20,54.022221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2018-03-21,52.821072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2018-03-22,51.082836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2018-03-23,49.813328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2018-03-24,49.813328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2018-03-25,49.813328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2018-03-26,50.643394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2018-03-27,49.705917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2018-03-28,49.657082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2018-03-29,50.741039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2018-03-30,50.741039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2018-03-31,50.741039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2018-04-01,50.741039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2018-04-02,48.612186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2018-04-03,50.262543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2018-04-04,50.819168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",2018-04-05,50.916813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2018-04-06,49.110222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2018-04-07,49.110222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2018-04-08,49.110222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2018-04-09,48.651249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2018-04-10,46.346611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2018-04-11,44.334946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2018-04-12,45.477493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2018-04-13,44.793915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2018-04-14,44.793915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2018-04-15,44.793915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2018-04-16,45.311485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2018-04-17,44.676727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2018-04-18,46.639568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
